date,I_raw,I_corr,E_hm3,reserva,n_valid,ref_ceh,dam
1998-07-01,-0.1285167999999995,0.11345330494658265,0.2419701049465821,28.359,31,5039,QUIEBRAJANO
1998-08-01,-0.1520159999999997,0.06228952970242762,0.21430552970242733,26.807193548387097,31,5039,QUIEBRAJANO
1998-09-01,-0.08600000000000138,0.05358077863949662,0.139580778639498,25.272533333333335,30,5039,QUIEBRAJANO
1998-10-01,-0.05463679999999844,0.024632507298155065,0.0792693072981535,23.83803225806452,31,5039,QUIEBRAJANO
1998-11-01,-0.022873599999999463,0.01861418524372019,0.041487785243719655,22.4734,30,5039,QUIEBRAJANO
1998-12-01,-0.006835200000001984,0.0204432793258365,0.027278479325838483,20.95583870967742,31,5039,QUIEBRAJANO
1999-01-01,0.006780799999999816,0.03277832455274328,0.025997524552743463,19.497064516129033,31,5039,QUIEBRAJANO
1999-02-01,-0.008279999999998393,0.02722161192270272,0.03550161192270111,18.19214285714286,28,5039,QUIEBRAJANO
1999-03-01,-0.0017791999999993823,0.05755345133276677,0.059332651332766155,17.005935483870967,31,5039,QUIEBRAJANO
1999-04-01,-0.027929600000000984,0.03978723565570494,0.06771683565570592,15.902,30,5039,QUIEBRAJANO
1999-05-01,-0.0761504000000003,0.02091899852800066,0.09706939852800096,14.736032258064517,31,5039,QUIEBRAJANO
1999-06-01,-0.09970079999999984,0.020591221012904747,0.12029202101290458,13.312566666666667,30,5039,QUIEBRAJANO
1999-07-01,-0.09922400000000031,0.03698879312257365,0.13621279312257395,11.97841935483871,31,5039,QUIEBRAJANO
1999-08-01,-0.09310559999999946,0.02593906950864953,0.11904466950864899,11.09890322580645,31,5039,QUIEBRAJANO
1999-09-01,-0.03972959999999979,0.036684334331091556,0.07641393433109135,10.2373,30,5039,QUIEBRAJANO
1999-10-01,0.19803680000000007,0.24148414694952317,0.04344734694952311,9.672677419354839,31,5039,QUIEBRAJANO
1999-11-01,-0.0012255999999995562,0.02203592560450445,0.023261525604504008,9.434666666666667,30,5039,QUIEBRAJANO
1999-12-01,0.5373999999999987,0.5530736303257241,0.015673630325725427,9.12641935483871,31,5039,QUIEBRAJANO
2000-01-01,0.2372512000000004,0.25320290743707263,0.015951707437072225,9.370290322580646,31,5039,QUIEBRAJANO
2000-02-01,-0.023891199999999717,-0.0005708280699263626,0.023320371930073355,9.188275862068965,29,5039,QUIEBRAJANO
2000-03-01,-0.027755200000000372,0.010875257943519998,0.038630457943520366,8.933709677419355,31,5039,QUIEBRAJANO
2000-04-01,1.445252800000001,1.4920318201686078,0.046779020168606765,9.132133333333334,30,5039,QUIEBRAJANO
2000-05-01,0.5361391999999995,0.609839890163458,0.07370069016345852,9.74832258064516,31,5039,QUIEBRAJANO
2000-06-01,-0.0499744,0.04646354602691379,0.09643794602691379,9.554866666666667,30,5039,QUIEBRAJANO
2000-07-01,-0.08196160000000033,0.031150586970901718,0.11311218697090204,9.063806451612903,31,5039,QUIEBRAJANO
2000-08-01,-0.07414079999999866,0.02600118510332121,0.10014198510331987,8.562999999999999,31,5039,QUIEBRAJANO
