indroea,demarc,area_km2,elev_mean,slope_mean,clay_pct,sand_pct,forest_frac,crop_frac,p_mean,pet_mean,aridity,frac_snow,p_seasonality,high_prec_freq,low_prec_freq,wet_day_frac,runoff_coef,qc_flag
5107,guadalquivir,485.8,382.294,4.689,30.602,31.999,0.69,0.064,1.574,3.341,2.123,0.001,1.437,24.74,281.5,0.229,0.044,regulated_low
5123,guadalquivir,348.8,155.73,1.32,32.995,31.8,0.148,0.752,1.389,3.542,2.55,0.0,1.62,23.92,298.2,0.183,0.119,clean
5125,guadalquivir,1487.7,279.159,3.406,30.376,33.104,0.276,0.488,1.422,3.388,2.382,0.0,1.602,23.98,292.5,0.199,0.06,regulated_low
5126,guadalquivir,77.6,273.1,3.93,26.015,38.016,0.584,0.02,1.625,3.463,2.132,0.0,1.617,23.69,295.8,0.19,0.47,clean
5128,guadalquivir,128.4,298.444,4.434,20.772,49.245,0.659,0.0,1.651,3.413,2.068,0.0,1.577,23.37,295.4,0.191,0.251,clean
5132,guadalquivir,1251.0,123.202,1.738,32.311,32.856,0.168,0.619,1.426,3.503,2.456,0.0,1.63,24.35,295.2,0.192,0.06,regulated_low
5134,guadalquivir,65.0,1345.98,16.545,25.672,36.871,0.91,0.0,1.636,2.912,1.78,0.026,1.321,22.6,269.0,0.263,0.816,karst_high
5135,guadalquivir,109.0,1098.509,15.793,27.771,34.604,0.79,0.0,2.048,2.996,1.463,0.011,1.353,22.21,259.9,0.288,0.335,clean
5136,guadalquivir,187.9,805.124,10.6,28.742,32.926,0.911,0.014,1.856,3.073,1.655,0.007,1.381,23.0,265.0,0.275,0.187,clean
5137,guadalquivir,66.2,1286.879,13.13,26.45,37.793,0.65,0.002,1.69,3.015,1.784,0.01,1.227,23.14,270.2,0.26,0.49,clean
5138,guadalquivir,220.7,745.307,4.76,25.38,38.358,0.293,0.153,1.513,3.091,2.043,0.002,1.235,24.1,278.5,0.237,0.177,clean
5140,guadalquivir,1650.0,1228.098,7.097,23.767,41.758,0.255,0.204,1.571,2.974,1.893,0.027,1.046,21.27,266.6,0.27,0.024,regulated_low
5141,guadalquivir,403.4,546.868,6.63,19.642,51.768,0.673,0.002,1.516,3.281,2.164,0.001,1.453,23.73,285.1,0.219,0.373,clean
5142,guadalquivir,676.4,414.257,4.339,31.332,31.507,0.704,0.104,1.64,3.354,2.045,0.001,1.465,24.6,281.0,0.231,0.05,regulated_low
5144,guadalquivir,166.8,463.212,3.054,27.934,35.542,0.536,0.269,1.427,3.19,2.235,0.001,1.579,24.26,291.8,0.201,0.065,regulated_low
5145,guadalquivir,297.6,579.974,5.822,27.426,34.225,0.714,0.016,1.602,3.213,2.006,0.0,1.479,23.87,292.2,0.2,0.266,clean
5146,guadalquivir,423.0,495.809,7.193,29.697,33.374,0.354,0.151,1.604,3.156,1.967,0.0,1.546,23.85,287.8,0.212,0.081,clean
5152,guadalquivir,25.9,1201.507,12.383,28.211,35.98,0.556,0.002,1.699,2.967,1.746,0.015,1.382,23.4,271.1,0.258,0.401,clean
7004,segura,1078.9,909.961,9.138,25.83,37.252,0.586,0.065,1.245,3.013,2.419,0.01,1.126,20.98,278.4,0.238,0.655,clean
7040,segura,49.0,435.414,3.497,27.09,36.66,0.246,0.236,1.031,3.32,3.221,0.001,1.298,19.61,304.5,0.166,0.013,regulated_low
7043,segura,1088.5,905.663,9.096,25.842,37.236,0.584,0.066,1.243,3.015,2.426,0.01,1.126,20.97,278.6,0.237,0.032,regulated_low
7050,segura,578.1,1134.71,11.868,24.886,38.363,0.812,0.013,1.4,2.891,2.065,0.028,1.125,20.84,270.7,0.259,0.398,clean
7055,segura,595.7,1220.043,9.733,25.427,37.985,0.583,0.031,1.67,2.852,1.708,0.034,0.993,20.53,259.5,0.29,0.032,regulated_low
7057,segura,2240.7,1173.747,10.887,25.787,37.409,0.601,0.028,1.628,2.878,1.767,0.028,1.055,19.95,258.8,0.292,0.188,clean
7070,segura,62.1,127.379,3.174,27.913,35.036,0.149,0.028,0.817,3.184,3.898,0.0,1.492,19.13,315.6,0.136,0.261,clean
7124,segura,2663.3,1090.315,10.39,26.005,37.041,0.577,0.032,1.556,2.924,1.879,0.02,1.058,20.29,261.9,0.283,0.24,clean
8005,jucar,2516.2,1091.192,8.727,23.456,39.83,0.523,0.066,1.696,2.641,1.557,0.025,0.804,19.39,256.5,0.298,0.114,clean
8009,jucar,41.4,951.463,17.873,26.526,36.467,0.943,0.0,1.854,2.661,1.435,0.01,0.778,19.64,268.1,0.266,0.183,clean
8010,jucar,45.9,833.743,13.245,28.343,34.302,0.787,0.0,1.911,2.637,1.38,0.015,0.723,19.44,264.3,0.276,0.097,clean
8012,jucar,321.5,1338.741,8.639,22.053,41.716,0.428,0.034,1.631,2.605,1.598,0.048,0.799,20.73,263.9,0.277,0.523,clean
8014,jucar,96.8,1593.442,7.096,21.683,42.334,0.489,0.012,2.012,2.446,1.216,0.107,0.904,18.82,242.2,0.337,0.291,clean
8015,jucar,2278.5,1307.316,5.39,22.699,40.941,0.202,0.285,1.504,2.604,1.732,0.071,0.886,19.11,257.1,0.296,0.076,regulated_low
8024,jucar,82.4,717.768,15.357,28.127,35.864,0.391,0.0,1.449,2.78,1.918,0.001,1.298,20.35,283.4,0.224,0.11,clean
8027,jucar,1418.2,1276.249,4.508,23.216,40.613,0.109,0.401,1.395,2.613,1.873,0.069,0.881,19.27,263.9,0.278,0.045,regulated_low
8028,jucar,478.7,1429.298,5.481,23.001,39.891,0.135,0.288,1.543,2.538,1.645,0.088,0.878,19.16,257.1,0.296,0.092,clean
8029,jucar,320.2,498.506,6.242,28.256,33.772,0.392,0.102,1.505,3.091,2.054,0.002,1.248,20.55,285.6,0.218,0.162,clean
8030,jucar,667.3,1266.001,6.074,21.893,41.57,0.432,0.139,1.531,2.595,1.695,0.057,0.841,19.61,260.8,0.286,0.064,regulated_low
8032,jucar,999.6,1311.868,7.768,22.087,41.608,0.693,0.056,2.042,2.59,1.268,0.06,0.982,20.82,249.4,0.317,0.37,clean
8057,jucar,260.7,525.255,6.378,28.276,33.837,0.419,0.107,1.478,3.096,2.094,0.002,1.238,20.61,286.3,0.216,0.08,clean
8060,jucar,683.0,896.324,3.621,23.998,40.656,0.336,0.336,1.294,2.954,2.283,0.013,0.95,21.03,281.8,0.229,0.034,regulated_low
